Name,Alt_name,q,S1x,S1y,S1z,S2x,S2y,S2z,Kick,V_mode,V_trunc,V_extrap,V_junk,V_downsample,Error
d18.0_q1.0_s0_0_0_s0_0_0/Lev5,SXS:BBH:0001,0.999999999997,-1.58925e-13,1.181e-13,2.56273174999e-10,1.125e-15,-7.00000000002e-16,3.89845000001e-12,0.000322097057358,3.1081368454e-06,-,0.000146611511309,5.52814993392e-05,1.36014936393e-06,0.000206361296857*
d19.0_q1.0_s0_0_0_s0_0_0/Lev6,SXS:BBH:0002,1.00000000033,1.32983250044e-11,-1.57821250053e-11,-2.94584507598e-09,-8.17089749731e-11,5.63016249815e-11,-3.61495397381e-09,0.000759181195505,1.26561580689e-05,0.000502857124996,0.000697892644251,4.95911572945e-05,8.6399288333e-07,0.00126386107749
d19.0_q1.0_s0.5_0_0_s0_0_0/Lev5,SXS:BBH:0003,0.99999999964,0.124999999896,-1.63321999914e-11,-1.88419999901e-12,1.38273150026e-10,8.8780250017e-12,-3.21204925061e-09,658.092908109,0.029571347227,-,23.441759606,0.396425100318,0.465847429909,24.3336034834*
