Name,Alt_name,q,S1x,S1y,S1z,S2x,S2y,S2z,relaxed_eccentricity,no_of_orbits,Remnant_spin_hor,Calculated_Spin,Deviation_from_Horizon,Error_Estimate,Max_Error(Magnitutde),Max_Error_Source,Remnant_Mass_Hor,Remnant_Mass_Calc,Deviation_from_Horizon,Error_Estimate,Max_Error,Max_Error_Source,Kick(km/s),Total_Error(km/s),Max_Error,Max_Error_Source,V_mode(km/s),V_trunc(km/s),V_extrap(km/s),V_junk(km/s),V_downsample(km/s)
d16.0_q1.5_s0_0_0.5_s0_0_0/Lev5,SXS:BBH:0013,1.500,0.0000,0.0000,0.1800,-0.0000,0.0000,0.0000,0.00014,23.7549,0.6972,0.6977,0.0005,0.0099*,0.0093,Extrapolation,0.9446,0.9445,0.0005,0.0005*,0.0005,Extrapolation,79.995593,8.377272*,8.258352,Extrapolation,0.005971,-,8.258352,1.398921,0.145927
d16.0_q1.5_s0.5_0_0_s0_-0.5_0/Lev5,SXS:BBH:0023,1.500,0.1800,-0.0000,-0.0000,-0.0000,-0.0800,0.0000,0.00027,21.4720,0.6220,0.6230,0.0010,0.0097,0.0092,Extrapolation,0.9535,0.9537,0.0010,0.0006,0.0004,Truncation,977.085865,41.299528,40.814714,Truncation,0.002554,40.814714,5.829348,2.285049,0.779370
d14.0_q3.0_s0_0_0.5_s-0.5_0_0Ecc9em4/Lev5,SXS:BBH:0104,3.000,-0.0000,-0.0000,0.2812,-0.0312,0.0000,-0.0000,0.00096,21.9343,0.6973,0.6983,0.0010,0.0067*,0.0058,Extrapolation,0.9607,0.9609,0.0010,0.0004*,0.0003,Extrapolation,224.911745,6.393131*,6.318058,Extrapolation,0.301927,-,6.318058,0.887271,0.275411
d15_q1_sA_0_0_0.6_sB_0_0_0.6/Lev3,SXS:BBH:0152,1.000,0.0000,-0.0000,0.1500,-0.0000,-0.0000,0.1500,0.00042,22.6479,0.7369,0.7379,0.0010,0.0123,0.0094,Extrapolation,0.9268,0.9270,0.0010,0.0008,0.0008,Extrapolation,0.002520,0.010395,0.010350,Truncation,0.000000,0.010350,0.000959,0.000022,0.000001
d15_q1_sA_0_0_-0.9_sB_0_0_-0.9/Lev4,SXS:BBH:0159,1.000,0.0000,0.0000,-0.2250,-0.0000,-0.0000,-0.2250,0.00056,12.6690,0.3679,0.3682,0.0003,0.0063*,0.0050,Extrapolation,0.9679,0.9679,0.0003,0.0003*,0.0003,Extrapolation,0.002204,0.001580*,0.001567,Extrapolation,0.000002,-,0.001567,0.000195,0.000027
d13_q6_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0166,6.000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,<4.4e-05,21.5589,0.3617,0.3620,0.0003,0.0025*,0.0018,Junk Radiation,0.9855,0.9855,0.0003,0.0001*,0.0001,Extrapolation,114.287857,0.616380*,0.550563,Extrapolation,0.168030,-,0.550563,0.191931,0.108322
d13_q4_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0167,4.000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,<9.9e-05,15.5908,0.4510,0.4513,0.0004,0.0050*,0.0036,Extrapolation,0.9779,0.9780,0.0004,0.0002*,0.0002,Extrapolation,155.688544,0.976539*,0.947959,Extrapolation,0.124224,-,0.947959,0.134665,0.146414
d13_q3_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0168,3.000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,<1.1e-04,15.6388,0.5100,0.5104,0.0004,0.0110*,0.0099,Junk Radiation,0.9713,0.9713,0.0004,0.0004*,0.0003,Extrapolation,169.825328,1.426505*,1.053973,Extrapolation,0.035178,-,1.053973,0.948674,0.151118
d13_q2_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0169,2.000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,<1.2e-04,15.6805,0.5761,0.5765,0.0004,0.0090*,0.0066,Extrapolation,0.9612,0.9613,0.0004,0.0004*,0.0004,Extrapolation,147.264971,1.036389*,0.915169,Extrapolation,0.007794,-,0.915169,0.471136,0.120577
BBH_SKS_d15.4_q1_sA_0_0_0.990_sB_0_0_0.990/Lev4,PRIVATE:BBH:0015,1.000,-0.0000,-0.0000,0.2475,-0.0000,0.0000,0.2475,0.00126,25.4043,0.7477,0.7374,0.0103,0.0205*,0.0195,Junk Radiation,0.8877,0.8772,0.0103,0.0119*,0.0110,Junk Radiation,0.288760,0.271683*,0.225331,Junk Radiation,0.000011,-,0.147157,0.225331,0.037180
BBH_SKS_d14_q6_sA_0_0_0_sB_0_0_0/Lev4,PRIVATE:BBH:0139,6.000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000576,26.4685,0.3617,0.3023,0.0594,0.0040,0.0028,Junk Radiation,0.9855,0.9854,0.0594,0.0002,0.0001,Junk Radiation,116.575046,4.591480,2.924690,Junk Radiation,0.146061,2.329104,2.623364,2.924690,0.446961
